model,ad_title,year,km,color,price,ad_date,location
"
                        1.6 TDi Trendline","















    OTOGAR OTOMOTİV2.ELDEN TEMİZ 2017 MODEL WOLKSVAGEN POLO 1.6TDİ



","
                    2017","
                    57.800","
                    Beyaz","
 91.900 TL","
31 Aralık

2019
","
                        İstanbulBayrampaşa"
"
                        1.0 Trendline","















    SAHİBİNDEN HATASIZ POLO
","
                    2018","
                    63.700","
                    Kırmızı","
 88.500 TL","
01 Ocak

2020
","
                        BursaMudanya"
"
                        1.4 TDi Comfortline","















    HATASIZ 2016 MODEL COMFORTLİNE 79 BİN KMDE



","
                    2016","
                    79.000","
                    Beyaz","
 95.000 TL","
01 Ocak

2020
","
                        AntalyaKepez"
"
                        1.4 Comfortline","















    POLAT AUTO' DAN 1,4 OTOMATİK POLO 60 BİNDE HATASIZ



","
                    2011","
                    60.000","
                    Beyaz","
 85.900 TL","
01 Ocak

2020
","
                        TokatMerkez"
"
                        1.4 TDi Comfortline","















    2016 MODEL POLO 1.4 TDİ OTOMATİK CAM TAVANLI ORJİNAL 65 BİN KM



","
                    2016","
                    65.000","
                    Beyaz","
 115.500 TL","
01 Ocak

2020
","
                        İstanbulAvcılar"
"
                        1.4 TDi Comfortline","















    //83.000 KM'DE // 2016 POLO COMFORTLINE DİZEL OTOMATİK



","
                    2016","
                    83.000","
                    Beyaz","
 101.500 TL","
01 Ocak

2020
","
                        İstanbulBağcılar"
"
                        1.4 TDi Comfortline","















    SADECE 63 BİN KMDE HATASIZ 2015 MODEL COMFORTLİNE 1,4 DİZEL POLO



","
                    2015","
                    63.000","
                    Kırmızı","
 96.500 TL","
01 Ocak

2020
","
                        AntalyaKepez"
"
                        1.2 TSI Comfortline","















    ARACIMIZ KÜBRA HANIMA HAYIRLI OLSUN



","
                    2015","
                    51.500","
                    Beyaz","
 102.000 TL","
01 Ocak

2020
","
                        TokatMerkez"
"
                        1.2 TSI Lounge","















    Satılık 1.2 lounge
","
                    2016","
                    56.000","
                    Beyaz","
 108.000 TL","
01 Ocak

2020
","
                        KarabükSafranbolu"
"
                        1.2 Trendline","















    KM AZ TERTEMİZ BOYASIZ HATASIZ 1.2 LPG YAKIT CİMRİSİ POLO



","
                    2012","
                    59.500","
                    Beyaz","
 62.950 TL","
01 Ocak

2020
","
                        AdanaSeyhan"
"
                        1.6 Classic","















    orijinal düşük kilometre polo
","
                    1999","
                    81.100","
                    Kırmızı","
 32.500 TL","
01 Ocak

2020
","
                        İstanbulEsenyurt"
"
                        1.4 Comfortline","















    sahibinden temiz aile arabasi
","
                    2011","
                    52.000","
                    Beyaz","
 67.500 TL","
01 Ocak

2020
","
                        ŞanlıurfaAkçakale"
"
                        1.4 TDi Comfortline","















    HATASIZ BOYASIZ İLK SAHİBİNDEN 1.4 DİZEL COMFORTLİNE



","
                    2017","
                    73.000","
                    Beyaz","
 96.500 TL","
01 Ocak

2020
","
                        AntalyaKepez"
"
                        1.4 Comfortline","















    AKER OTO 2010 MODEL VW POLO 1.4 COMFORTLİNE ..59.000 KM....



","
                    2010","
                    59.000","
                    Lacivert","
 51.850 TL","
01 Ocak

2020
","
                        İzmirGaziemir"
"
                        1.6 TDi Comfortline","















    ACİL SATILIKTIR 2013 1.6 polo comfortline
","
                    2013","
                    64.358","
                    Beyaz","
 73.000 TL","
01 Ocak

2020
","
                        KocaeliDarıca"
"
                        1.2 TSI Comfortline","















    ARACIMIZ ERHAN BEYE OPSİYONLANM­IŞTIR.TUNER AUTO VW POLO HATASIZ



","
                    2015","
                    78.865","
                    Gümüş Gri","
 98.000 TL","
01 Ocak

2020
","
                        AydınNazilli"
"
                        1.4 TDi Trendline","















    ABAZLAR PLAZA W.POLO 1.4TDI TRENDLINE SADECE 82KMDE AIRBEG KLİMA



","
                    2009","
                    82.000","
                    Gümüş Gri","
 58.900 TL","
01 Ocak

2020
","
                        KonyaKaratay"
"
                        1.4 TDi Comfortline","















    2017 MODEL DİZEL OTOMATİK HATASIZ 79 KM'de



","
                    2017","
                    79.000","
                    Beyaz","
 107.500 TL","
01 Ocak

2020
","
                        DiyarbakırYenişehir"
"
                        1.2 TDi Trendline","















    2013 POLO TRENDLINE 56680 KM DE TEMİZ KULLANILMIŞ.......
","
                    2013","
                    56.680","
                    Beyaz","
 73.000 TL","
01 Ocak

2020
","
                        İstanbulŞişli"
"
                        1.2 TSI Comfortline","















    ALİOĞLU OTOMOTİV DEN POLO 50.000 KM



","
                    2014","
                    50.000","
                    Gümüş Gri","
 84.750 TL","
01 Ocak

2020
","
                        MuğlaFethiye"
"
                        1.4 TDi Trendline","















    2017 VOLKSWAGEN POLO 1.4 TDI 51.980 KM



","
                    2017","
                    51.980","
                    Beyaz","
 78.250 TL","
01 Ocak

2020
","
                        İstanbulSarıyer"
"
                        1.4 TDi Comfortline","















    POLO DGS 1.4 TDİ CONFORTLİNE HATASIZ YETKİLİ SERVİS BAKIMLI



","
                    2016","
                    66.000","
                    Beyaz","
 110.000 TL","
01 Ocak

2020
","
                        BursaOsmangazi"
