model,ad_title,year,km,color,price,ad_date,location,city
                        1.4 TDi Comfortline,    2015 DEĞİŞENSİZ KAZASIZ UYGUN FİYATA,2015,155000.0,                    Beyaz,68750.0,2019-12-28,                        İstanbulEyüpsultan,İstanbul
                        1.6 TDi Comfortline,    HATASIZ POLO 1.6 TDI 2011,2011,178000.0,                    Beyaz,68000.0,2019-12-28,                        İzmirBalçova,İzmir
                        1.2 TDi Trendline,    Satılık Polo,2013,182000.0,                    Beyaz,58200.0,2019-12-28,                        TekirdağSüleymanpaşa,Tekirdağ
                        1.2 TDi Trendline,"    DEĞİŞENSİZ,HASAR KAYITLI POLO1.2 TRENDLİNE BU FİYATI KACIRMAYIN!",2013,164150.0,                    Beyaz,51750.0,2019-12-28,                        ManisaAlaşehir,Manisa
                        1.6 TDi Comfortline,    160 BİNDE TEMİZ SAHİBİNDEN,2010,158000.0,                    Mavi,57999.0,2019-12-28,                        İstanbulBağcılar,İstanbul
                        1.4 Basicline,    DEĞİŞENSİZ 2004 POLO KM 155 bin,2004,154800.0,                    Beyaz,45950.0,2019-12-28,                        ÇankırıMerkez,Çankırı
                        1.4 Comfortline,    OTOMATİK LPG Lİ POLO,2000,153000.0,                    Beyaz,32500.0,2019-12-29,                        AfyonkarahisarMerkez,Afyonkarahisar
                        1.4 Comfortline,    ojinal km dir,2001,180000.0,                    Mavi,27500.0,2019-12-29,                        AntalyaKepez,Antalya
                        1.6 Comfortline Classic,    ORJiNAL CLASİC POLO,2000,183000.0,                    Beyaz,27500.0,2019-12-29,                        İstanbulÜsküdar,İstanbul
                        1.4 TDi Trendline,    VOLKSWAGEN POLO 1.4 TDİ TRENDLİNE 75 HP 2008,2008,175000.0,                    Gümüş Gri,35000.0,2019-12-29,                        İstanbulPendik,İstanbul
                        1.6 TDi Comfortline,    2011 MODEL POLO 1.6 TDİ AUTO 35,2011,170000.0,                    Beyaz,58000.0,2019-12-29,                        İzmirGaziemir,İzmir
                        1.2 Trendline,    TEMIZ AILE ARACI,2012,167000.0,                    Beyaz,53500.0,2019-12-29,                        İstanbulDiğer,İstanbul
                        1.6,"    2000 MODEL 1,6 75PS BENZİN LPG 186000KM",2000,186000.0,                    Kırmızı,25500.0,2019-12-29,                        RizeMerkez,Rize
                        1.6,    Wolswagen Polo,2000,188570.0,                    Gri,33000.0,2019-12-29,                        İzmirÇeşme,İzmir
                        1.2 TDi BlueMotion,    Temiz Bakimli Değisensiz 1.2 TDİ Bluemotion Polo.,2012,178000.0,                    Beyaz,57000.0,2019-12-29,                        AntalyaMuratpaşa,Antalya
                        1.2 TDi Trendline,    Satılık yazılımlı 1.2 dizel 92 hp Polo,2013,160000.0,                    Beyaz,61000.0,2019-12-29,                        TekirdağÇerkezköy,Tekirdağ
                        1.4 Primeline,    İstanbul tuzla,2003,176000.0,                    Mor,39000.0,2019-12-29,                        İstanbulTuzla,İstanbul
                        1.4 TDi Trendline,    Wolsvagen 2008 Polo 1.4 Dizel SON FİYAT 47.500,2008,165000.0,                    Füme,47500.0,2019-12-29,                        KocaeliKörfez,Kocaeli
                        1.6 Classic,    KAPORA ALINMIŞTIR KOZAN'A OPSİYONLANMI ŞTIR...1999 MODEL POLO,1999,187900.0,                    Yeşil,22450.0,2019-12-29,                        OsmaniyeMerkez,Osmaniye
                        1.6,    YENI GIBI 1998 POLO OTOMATIK VITES,1998,174000.0,                    Bordo,26950.0,2019-12-29,                        SakaryaAkyazı,Sakarya
                        1.4 Basicline,    Temiz Polo,2005,180000.0,                    Beyaz,46000.0,2019-12-29,                        IğdırMerkez,Iğdır
                        1.4 Trendline,    Sahibinden Masrafsız Yakıt Cimrisi,2007,186500.0,                    Gri,45500.0,2019-12-29,                        AnkaraPursaklar,Ankara
                        1.2 TDi Trendline,    ihtiyaçddan dolayı satılık tertemiz polo,2012,188356.0,                    Beyaz,60000.0,2019-12-30,                        İzmirFoça,İzmir
                        1.4 Comfortline,    -Öğretmenden- Opsiyonel özellikleriyle Otomatik Polo,2002,182000.0,                    Kırmızı,50750.0,2019-12-30,                        İstanbulBağcılar,İstanbul
                        1.6 TDi Comfortline,    SAHİBİNDEN,2012,157000.0,                    Beyaz,65250.0,2019-12-30,                        AnkaraSincan,Ankara
                        1.4 Comfortline,    GÜZELLİK PAKET TAKAS OLUR,2010,180000.0,                    Beyaz,51500.0,2019-12-30,                        İstanbulKüçükçekmece,İstanbul
                        1.4 Comfortline,    SAMET OTOMOTİV DEN 2005 MODEL HATASIZ VOLKSVAGEN POLO,2005,170000.0,                    Beyaz,46500.0,2019-12-30,                        AksarayMerkez,Aksaray
                        1.2 TDi Trendline,    -2014 POLO -1.2 TDI-ORJİNAL- AZ YAKAN-SIFIR AYARINDA-,2014,156900.0,                    Beyaz,60750.0,2019-12-30,                        İstanbulSultanbeyli,İstanbul
                        1.6,"    VW Polo HB, 175.000'de, Değişensiz, Klimasız...",1996,175000.0,                    Lacivert,24250.0,2019-12-30,                        AydınNazilli,Aydın
                        1.4 Trendline,    MEMURDAN ORJİNAL - ADANA'DA DA GÖREBİLİRSİNİZ,2009,157000.0,                    Gri,55500.0,2019-12-30,                        ŞanlıurfaBirecik,Şanlıurfa
                        1.4 Basicline,    KAZASIZ 2004 POLO 1.4OTOMATİK BASİCLİNE SIRALI LPGLİ175000 KM DE,2004,175000.0,                    Beyaz,55900.0,2019-12-30,                        AksarayMerkez,Aksaray
                        1.4 Comfortline,    2010 1.4 Lpg li Polo Bakımlı,2010,154000.0,                    Beyaz,48750.0,2019-12-30,                        AntalyaKumluca,Antalya
                        1.2 TDi Trendline,    YETKİLİ BAYİ'DEN 2013 1.2 DİZEL POLO 30 BİN TL 12 AY 0 FAİZ..!!,2013,155000.0,                    Beyaz,59500.0,2019-12-30,                        UşakMerkez,Uşak
                        1.6,    TAM OTOMATİK WW POLO,1998,169000.0,                    Mavi,33250.0,2019-12-30,                        AnkaraKeçiören,Ankara
                        1.6,    Sahibinden satlik temiz polo,1999,162398.0,                    Mavi,30000.0,2019-12-30,                        İstanbulAvcılar,İstanbul
                        1.6,    1998 KLİMALI SADECE 172000 KM.1.6 100 BG ..P O L O..,1998,172000.0,                    Kırmızı,27500.0,2019-12-30,                        Kocaeliİzmit,Kocaeli
                        1.6 TDi Comfortline,    ÖZKUL OTO DAN 1.6TDİ COMFORTLİNE,2012,167000.0,                    Beyaz,64500.0,2019-12-30,                        İstanbulBağcılar,İstanbul
                        1.6 TDi Comfortline,    Degisensiz Garaj Arabası Polo 6R,2013,153000.0,                    Beyaz,61000.0,2019-12-30,                        İstanbulKağıthane,İstanbul
                        1.2 TDi Trendline,    2 PARÇA DEGİŞENLİ HARİCİ HATASIZ BOYASIZ 174 KM DE BU FİYATA YOK,2012,174000.0,                    Beyaz,51200.0,2019-12-30,                        İstanbulÜmraniye,İstanbul
                        1.4 Trendline,    KARATASLAR 2000 MODEL 1.4 VOLKSWAGEN POLO BENZİN TUPLÜ MUANE YE,2000,155286.0,                    Mavi,28500.0,2019-12-30,                        AfyonkarahisarEmirdağ,Afyonkarahisar
                        1.4 Comfortline,    Volkswagen Polo 1.4 Otomatik SUNROOFLU,2002,179000.0,                    Gri,45900.0,2019-12-30,                        OsmaniyeMerkez,Osmaniye
                        1.2 TDi Trendline,"    2012 MODEL VW. POLO 1.2 TDİ 75 BG TRENDLİNE 163,000 KM'DE",2012,163000.0,                    Beyaz,58500.0,2019-12-30,                        AnkaraYenimahalle,Ankara
                        1.4 Trendline,    ''AKSE AUTO'' 2007 POLO 1.4 BENZİN+LPG OTOMATİK TRENDLINE,2007,180000.0,                    Siyah,57000.0,2019-12-30,                        KahramanmaraşOnikişubat,Kahramanmaraş
                        1.6 TDi Comfortline,    Polo 1.6 TDI,2013,189000.0,                    Beyaz,70750.0,2019-12-30,                        AntalyaKepez,Antalya
                        1.2 TDi Trendline,    2013 Model 177Bin kmde Polo,2013,178000.0,                    Gümüş Gri,58500.0,2019-12-30,                        İstanbulMaltepe,İstanbul
                        1.2 TDi BlueMotion,    İlk sahibinden sıkıntısız yakıt cimrisi polo,2012,160000.0,                    Beyaz,64000.0,2019-12-31,                        ErzurumPalandöken,Erzurum
                        1.6 TDi Comfortline,    2010 VW POLO 1.6 TDİ MANUEL COMFORTLİNE +200HP FULL EXTRALI,2010,179350.0,                    Beyaz,71750.0,2019-12-31,                        MersinToroslar,Mersin
                        1.6 TDi Comfortline,    TERTEMİZ BAKIMLI 1.6 DİZEL POLO,2013,181000.0,                    Beyaz,65750.0,2019-12-31,                        AdanaSeyhan,Adana
                        1.2 TDi Trendline,    TERTEMİZ 1.2 DİZEL YAKIT CİMRİSİ,2014,154000.0,                    Beyaz,59750.0,2019-12-31,                        AdanaSeyhan,Adana
                        1.2 TDi Trendline,    MULLAOĞLU OTOMOTİVDEN POLO TDİ,2012,170000.0,                    Beyaz,65000.0,2019-12-31,                        HatayAntakya,Hatay
                        1.4 Trendline,    sağlık personelinden temiz,2008,156000.0,                    Beyaz,55000.0,2019-12-31,                        MuğlaMarmaris,Muğla
                        1.6,    Temiz bakımlı,1997,190000.0,                    Yeşil,24000.0,2019-12-31,                        İstanbulSarıyer,İstanbul
                        1.2 TDi Trendline,    Aracım bakımlıdır 1.2 dizel yakıt cimrisi,2012,172000.0,                    Siyah,59900.0,2019-12-31,                        BartınMerkez,Bartın
                        1.6 TDi Comfortline,    Favoriler beklemeye devam edin Sezer kardeşime hayırlı olsun...,2010,173000.0,                    Mavi,60000.0,2019-12-31,                        TekirdağKapaklı,Tekirdağ
                        1.4 Comfortline,"    GENÇLER,den HATASIZ BOYASIZ TAM OTOMATİK VİTES POLO BENZİN+LPG",2005,165660.0,                    Mavi,60500.0,2019-12-31,                        İzmirÖdemiş,İzmir
                        1.4 Trendline,"    GENÇLER,den TAM OTOMATİK VİTES POLO",2006,155177.00000000003,                    Beyaz,59250.0,2019-12-31,                        İzmirÖdemiş,İzmir
                        1.4 Trendline,    MUSTAFA KARDEŞİMİZE HAYIRLI OLSUN,2005,162000.0,                    Mavi,47000.0,2019-12-31,                        BoluMerkez,Bolu
                        1.2 TDi Trendline,    GÜL OTOMOTİV'DEN 2013 VOLKSWAGEN POLO 1.2 TDİ,2013,186000.0,                    Beyaz,54500.0,2019-12-31,                        İstanbulBağcılar,İstanbul
                        1.4 Basicline,    GÖNÜLTAŞ & NGR MOTORS TAN WW POLO,2004,189000.0,                    Mavi,45750.0,2019-12-31,                        ÇankırıMerkez,Çankırı
                        1.4 TDi Trendline,    ARAÇ İZMİRDEN ALİ BEYE OPSİYONLANMIŞTIR . DİĞER İLANLARIMIZA BKZ,2015,160000.0,                    Siyah,70900.0,2019-12-31,                        ElazığMerkez,Elazığ
                        1.6 Comfortline Classic,    POLO CLASSIC FULL SUNROOFLU 100 BEYGİR,1998,176000.0,                    Yeşil,29500.0,2019-12-31,                        İstanbulBeylikdüzü,İstanbul
                        1.6,    1999 MODEL VOLKSWAGEN POLO 1.6 KLİMALI-SANRUFLU- BAYAN'DAN,1999,168000.0,                    Kırmızı,24500.0,2019-12-31,                        BurdurBucak,Burdur
                        1.4 TDi Trendline,    2009 TERTEMİZ POLO DEĞİŞENSİZ TEK BOYA,2009,156000.0,                    Beyaz,51250.0,2020-01-01,                        İstanbulBağcılar,İstanbul
                        1.2 TDi Trendline,    DEĞİŞENSIZ POLO,2013,178000.0,                    Siyah,56500.0,2020-01-01,                        AnkaraEtimesgut,Ankara
                        1.6 TDi Comfortline,    OTOMATİK+VW POLO 1.6 TDI+2011 MODEL+DSG+E­MSALLERİNİN EN UCUZU,2011,182000.0,                    Siyah,57500.0,2020-01-01,                        MardinArtuklu,Mardin
                        1.6 TDi Comfortline,    ARACIMIZ ŞERİF BEY'E HAYIRLI OLSUN,2011,158000.0,                    Beyaz,77500.0,2020-01-01,                        AdıyamanMerkez,Adıyaman
                        1.4 Trendline,    Sahibinden Vw Polo Hatasız bakımlı,2006,176000.0,                    Siyah,48900.0,2020-01-01,                        KonyaSelçuklu,Konya
                        1.6 TDi Comfortline,    GALERIA MOTORS'DAN TEMİZ POLO COMFORTLİNE 1.6TDI MANUEL BEYAZ,2013,187000.0,                    Beyaz,60000.0,2020-01-01,                        ŞanlıurfaHaliliye,Şanlıurfa
                        1.4 TDi Comfortline,    YENİ SAHİBİNE HAYIRLI OLSUN *** Acar Group Lara ***,2014,159000.0,                    Beyaz,83750.0,2020-01-01,                        AntalyaMuratpaşa,Antalya
                        1.4 TDi Comfortline,    mükemmel temizlikte,2015,160000.0,                    Beyaz,90500.0,2020-01-01,                        DiyarbakırYenişehir,Diyarbakır
                        1.4 Basicline,    Sahibinden satılık temiz Polo,2005,167435.99999999997,                    Beyaz,42500.0,2020-01-01,                        AntalyaKonyaaltı,Antalya
                        1.6 Comfortline Classic,    AYDENİZ OTOMOTİV 1998 POLO CLASSİC 100 LÜK FULL MODELİ,1998,190000.0,                    Kırmızı,29750.0,2020-01-01,                        KonyaKaratay,Konya
                        1.6 TDi Comfortline,    HATASIZ - MASRAFSIZ - TEMİZ - 1.6 TDİ 90 HP,2011,167000.0,                    Beyaz,65900.0,2020-01-01,                        AnkaraAkyurt,Ankara
                        1.6 Comfortline Classic,    SERKAN OTOMOTİVDEN 2000 MODEL POLO 1.6 CLASIC,1999,180000.0,                    Beyaz,24750.0,2020-01-01,                        ÇankırıIlgaz,Çankırı
                        1.4 Basicline,    HATASIZ BOYASIZ 2004 MODEL 1.4 BENZİN LPG POLO,2004,172000.0,                    Beyaz,44750.0,2020-01-01,                        AdanaSeyhan,Adana
                        1.4 TDi Comfortline,    ARACIMIZ S A T I L M I Ş T I R .,2016,156000.0,                    Beyaz,96500.0,2020-01-01,                        AfyonkarahisarMerkez,Afyonkarahisar
                        1.4 TDi Comfortline,    İzmire hayırlı olsun,2014,159000.0,                    Mavi,79000.0,2020-01-01,                        IspartaMerkez,Isparta
                        1.4 Trendline,    CAM GİBİ 2000 WOLKSWAGEN POLO 1.4 LPG (KLİMALI),2000,158000.0,                    Bordo,31900.0,2020-01-01,                        KütahyaTavşanlı,Kütahya
                        1.4 TDi Trendline,    HATASIZ BOYASIZ WOSVOGEN POLO 1.4 TDI TRENDLİNE ORJ 174.000 KM,2015,174000.0,                    Beyaz,75750.0,2020-01-01,                        ŞanlıurfaKaraköprü,Şanlıurfa
                        1.6 TDi Comfortline,    POLO 2013 DSG FULL BAKIMLI,2013,155000.0,                    Gümüş Gri,85750.0,2020-01-01,                        OsmaniyeMerkez,Osmaniye
                        1.2 TDi Trendline,    Sahibinden Tertemiz DİZEL Polo,2012,171000.0,                    Beyaz,52750.0,2020-01-01,                        İstanbulBahçelievler,İstanbul
                        1.4 Basicline,    #Vw Polo 1.4 16V Fiyat SON#,2004,187900.0,                    Beyaz,38250.0,2020-01-01,                        AydınKuyucak,Aydın
                        1.6 TDi Comfortline,    TEMIZ POLO,2012,166000.0,                    Gümüş Gri,54500.0,2020-01-01,                        İstanbulBaşakşehir,İstanbul
                        1.4 Comfortline,    sahibinden temiz değişensiz ekstralı polo,2006,178000.0,                    Siyah,48500.0,2020-01-01,                        BursaOsmangazi,Bursa
                        1.4 TDi Trendline,    ACİL KAZASIZ GARANTİLİ TEK PARÇA BOYALI POLO,2016,180000.0,                    Beyaz,73250.0,2020-01-01,                        İstanbulAvcılar,İstanbul
                        1.4 TDi Trendline,    Memur Abladan temiz ve bakımlı masrafsız aile aracı 166 binde,2006,166666.0,                    Beyaz,41750.0,2020-01-01,                        BursaMustafakemalpaşa,Bursa
                        1.4 Comfortline,    157000 km'de ihtiyaçtan satılık,2001,157000.0,                    Gümüş Gri,32900.0,2020-01-01,                        İzmirBayraklı,İzmir
                        1.4 TDi Comfortline,    2015 Model Polo Otomatik Dizel 1.4 163.000km,2015,160000.0,                    Beyaz,84000.0,2020-01-01,                        İstanbulBağcılar,İstanbul
                        1.4 Basicline,"    Sahibinden, sorunsuz polo",2004,182500.0,                    Bordo,29500.0,2020-01-02,                        Hatayİskenderun,Hatay
                        1.6 Classic,    KİRENLER-1.6 POLO CLASSİC 100LÜK KLİNALI 186000DE İLK SAHİBİ,1998,186000.0,                    Yeşil,26750.0,2020-01-02,                        ZonguldakÇaycuma,Zonguldak
                        1.6 Classic,    190.000 de 2001dürbün göğüs polo classic.,2001,190000.0,                    Gri,24.0,2020-01-02,                        SivasMerkez,Sivas
                        1.2 Trendline,    2011 Volkswagen Polo değişensiz hasar kayıtsız,2011,190000.0,                    Beyaz,56750.0,2020-01-02,                        BalıkesirKaresi,Balıkesir
                        1.4 Trendline,    boyasız hasar kayıtsız temiz araç,2008,160000.0,                    Siyah,54000.0,2020-01-02,                        MersinAkdeniz,Mersin
                        1.2 TDi Trendline,"    Bakımlı, Yakıt Cimrisi, Yol Bilgisayarlı POLO 1.2 TDI",2013,174000.0,                    Siyah,47500.0,2020-01-02,                        AnkaraMamak,Ankara
                        1.4 TDi Trendline,    ÇOK TEMİZ DİZEL POLO HASAR KAYITSIZ YENİ KASA,2014,186000.0,                    Beyaz,59800.0,2020-01-02,                        KocaeliKörfez,Kocaeli
                        1.6,    Temiz 1997 model bakımlı araç 173 bin km orjinal,1997,173000.0,                    Beyaz,27750.0,2020-01-02,                        BursaMustafakemalpaşa,Bursa
                        1.4 Comfortline,    YEDİEYLÜL OTOMOTİVDEN 2010 VW POLO COMFORTLİNE OTOMATİK HATASIZ,2010,175000.0,                    Kırmızı,76900.0,2020-01-02,                        AydınEfeler,Aydın
                        1.4 Trendline,    sahibinden temiz polo 1.4,2006,167000.0,                    Siyah,48500.0,2020-01-02,                        MuğlaBodrum,Muğla
                        1.2 TDi Trendline,    Konforlu Tutumlu Polo 1.2 TDi Trend,2013,167000.0,                    Gümüş Gri,52000.0,2020-01-02,                        AnkaraÇankaya,Ankara
                        1.2 TDi Trendline,    Değişensiz Tramersiz arayana...,2014,171000.0,                    Beyaz,67500.0,2020-01-02,                        AnkaraEtimesgut,Ankara
                        1.6,    2000 MODEL 1.6 LPGLI DEĞİŞENSİZ HATASIZ POLO SIFIR VİZELİ,2000,184000.0,                    Kırmızı,29500.0,2020-01-02,                        İzmirKemalpaşa,İzmir
                        1.4 TDi Trendline,    VOLKSWAGEN 1.4 tdi POLO (70 BEYGİR),2008,172000.0,                    Siyah,41250.0,2020-01-02,                        AnkaraÇankaya,Ankara
                        1.2 Trendline,    2013 POLO İZMİRDEN UGUR BEYE HAYİRLİ OLSUN,2013,182000.0,                    Kırmızı,48999.0,2020-01-02,                        AydınDidim,Aydın
                        1.4 TDi Comfortline,    BU HAFTA İÇİN PAZARLIKSIZ SON FİYAT,2016,160000.0,                    Beyaz,89990.0,2020-01-02,                        İstanbulEsenyurt,İstanbul
                        1.4 Comfortline,    sahibinden temiz polo,2006,178500.0,                    Siyah,46500.0,2020-01-02,                        ErzincanMerkez,Erzincan
                        1.6 Classic,    ***A R S MOTORS*** EMSALSİZ TEMİZLİKTE POLO 167 BİN KM ORJİNALLL,1998,167000.0,                    Yeşil,22900.0,2020-01-02,                        TekirdağÇerkezköy,Tekirdağ
                        1.2 TDi Trendline,    2014 TERTEMIZ 1.2 TDİ POLO,2014,171000.0,                    Beyaz,65750.0,2020-01-02,                        MuğlaYatağan,Muğla
                        1.6,    model yükselteceğim için değiştiriyorum,1999,174000.0,                    Kırmızı,27500.0,2020-01-02,                        KocaeliGebze,Kocaeli
                        1.6 TDi Comfortline,    2013 Wolks. Polo 1.6 TDİ Comfortline DSG,2013,171500.0,                    Beyaz,75000.0,2020-01-02,                        ManisaTurgutlu,Manisa
                        1.4 TDi Trendline,    SAHİBİNDEN DEĞİŞENSİZ BOYASIZ TERTEMİZ POLO,2008,174800.0,                    Beyaz,53750.0,2020-01-02,                        AdanaÇukurova,Adana
                        1.4 Highline,    Memurdan temiz,2002,180745.99999999997,                    Beyaz,30000.0,2020-01-02,                        BursaYıldırım,Bursa
                        1.2 TDi Trendline,    POLO.......,2011,175000.0,                    Siyah,55000.0,2020-01-02,                        AnkaraEtimesgut,Ankara
                        1.6,    KLİMALI OTOMATİK DÜŞÜK KM POLO!!,1997,189000.0,                    Lacivert,23500.0,2020-01-02,                        İzmirMenemen,İzmir
                        1.4 Goal,    Sahibinden değişensiz 2006 GOAL,2006,154100.0,                    Lacivert,44250.0,2020-01-02,                        AnkaraÇankaya,Ankara
                        1.6,    187 binde klimali,1996,187600.0,                    Yeşil,22750.0,2020-01-03,                        KocaeliDarıca,Kocaeli
                        1.2 TDi Trendline,    DEĞİŞENSİZ 2013 model,2013,184000.0,                    Beyaz,60900.0,2020-01-03,                        AydınEfeler,Aydın
                        1.6,    aciliyetten satilik,1998,190000.0,                    Mavi,24000.0,2020-01-03,                        İstanbulKartal,İstanbul
                        1.6,    satılık polo ihtiyactan,1997,175000.0,                    Mavi,23750.0,2020-01-03,                        AnkaraYenimahalle,Ankara
                        1.2 TDi BlueMotion,    2014 POLO 1.2TDİ BLUEMOTION,2014,168000.0,                    Beyaz,53500.0,2020-01-03,                        İzmirGaziemir,İzmir
                        1.4 Trendline,    sahibinden satılık,2006,173000.0,                    Kırmızı,37000.0,2020-01-03,                        İstanbulMaltepe,İstanbul
                        1.2 TDi Trendline,    ERGENGURU OTOMOTİVDEN 2012 1.2 TDİ VOLKSWAGEN POLO TERTEMİZ,2012,157000.0,                    Beyaz,57750.0,2020-01-03,                        BurdurMerkez,Burdur
                        1.6 TDi Comfortline,    2013 POLO-1.6 TDİ-90 HP-DİZEL OTOMATİK,2013,188000.0,                    Beyaz,76000.0,2020-01-03,                        ArtvinMerkez,Artvin
                        1.4 Trendline,    SAHİBİNDEN 164000 KM KLİMALI 1.4 16v 2000 MODEL POLO,2000,164000.0,                    Beyaz,32200.0,2020-01-03,                        AnkaraÇankaya,Ankara
                        1.2 TDi Trendline,    AS OTOMOTİV DEN HATASIZ BOYASIZ 2013 POLO,2013,159000.0,                    Beyaz,62500.0,2020-01-03,                        AntalyaMuratpaşa,Antalya
                        1.6 Classic,"    1999 VOLKSWAGEN POLO 1,6 CLASSİC OTOMATIK LPG Lİ",1999,190000.0,                    Beyaz,31500.0,2020-01-03,                        İstanbulSancaktepe,İstanbul
                        1.2 Trendline,    2014 YENİ MUAYENE 159 favoriye özel,2014,178000.0,                    Siyah,42900.0,2020-01-03,                        AnkaraYenimahalle,Ankara
                        1.6,    OTOMATİK DEĞİŞENSİZ 178.000 KM 1998 MODEL POLO BAKIMLI YENİ VİZE,1998,178000.0,                    Kırmızı,32650.0,2020-01-03,                        KonyaSelçuklu,Konya
                        1.4 Comfortline,    MEMURDAN SANRUFLU TEMİZ DÜRBÜN GÖĞÜS POLO 153 BİNDE,2000,153888.0,                    Beyaz,37000.0,2020-01-03,                        BurdurMerkez,Burdur
                        1.6 TDi Comfortline,    VW POLO 1.6 TDI 2. SAHİBİNDEN HATA-BOYA YOK FULL PAKET,2013,163500.0,                    Beyaz,74000.0,2020-01-03,                        TekirdağSüleymanpaşa,Tekirdağ
                        1.6 TDi Comfortline,    DEĞİŞENSİZ POLO 2011 MODEL,2011,165000.0,                    Beyaz,68500.0,2020-01-03,                        AntalyaKepez,Antalya
                        1.2 TDi Trendline,    MEHMET BEYE HAYIRLI OLSUN,2013,166000.0,                    Beyaz,57500.0,2020-01-03,                        DiyarbakırKayapınar,Diyarbakır
                        1.6,    ÇOK ACİL!! SATILIK ÖZEL RENK POLO,1997,161000.0,                    Sarı,30500.0,2020-01-03,                        İstanbulEsenyurt,İstanbul
                        1.4 Comfortline,    2003 VOLKSWAGEN POLO 1.4 COMFORTLİNE OTOMATİK EMSALSİZ TEK SAHİP,2003,189000.0,                    Beyaz,55500.0,2020-01-03,                        AydınEfeler,Aydın
                        1.2 TDi Trendline,    Sahibinden TERTEMİZ polo Hasar kayıtsız Değişensiz,2013,189000.0,                    Beyaz,60300.0,2020-01-03,                        KayseriMelikgazi,Kayseri
                        1.6 TDi Comfortline,    ilk arabamı satıyorum alıcına hayırlı olsun fiyat düştü,2013,173000.0,                    Beyaz,64250.0,2020-01-03,                        ArdahanGöle,Ardahan
                        1.6 Comfortline Classic,    vw polo temiz aile arabası,2000,172000.0,                    Yeşil,26500.0,2020-01-03,                        AnkaraEtimesgut,Ankara
                        1.4 Comfortline,    ANKARADAN TANER BEY'E HAYIRLI OLSUN,2010,187000.0,                    Beyaz,99999.0,2020-01-03,                        ŞanlıurfaHaliliye,Şanlıurfa
                        1.6 TDi Comfortline,    İlk Sahibinden Hatasız Boyasız,2013,190000.0,                    Beyaz,71000.0,2020-01-03,                        AntalyaManavgat,Antalya
                        1.2 TDi BlueMotion,    ORJİNAL 2011 VW POLO 1.2 TDİ 75 HP BLUEMOTİON 159.000 KM'DE,2011,159500.0,                    Mavi,62700.0,2020-01-03,                        İstanbulPendik,İstanbul
                        1.4 Basicline,    SAHİBİNDEN HATASIZ OTOMATİK KLİMA LI FULL BAKIMLI,2005,164000.0,                    Beyaz,59000.0,2020-01-03,                        AnkaraÇankaya,Ankara
                        1.4 Basicline,    KARAMANLI GARAGE VOLKSWAGEN POLO 1.4 BASİCLİNE LPG,2004,181000.0,                    Beyaz,34750.0,2020-01-03,                        EskişehirOdunpazarı,Eskişehir
                        1.6 TDi Comfortline,    1.6 TDİ Polo DEĞİŞENSİZ,2011,165000.0,                    Beyaz,68500.0,2020-01-03,                        AntalyaAksu,Antalya
                        1.6 Highline,    memurdan dosta gider,1999,178000.0,                    Kırmızı,27000.0,2020-01-03,                        KonyaMeram,Konya
                        1.4 TDi Trendline,    2014 MODEL 1.4 TDI POLO,2014,190000.0,                    Beyaz,64650.0,2020-01-03,                        AksarayMerkez,Aksaray
                        1.4 Basicline,    BEY MOTORS'DAN ARACIMIZ KÜTAHYA YA HAYIRLI OLSUN,2005,184000.0,                    Gümüş Gri,99999.0,2020-01-03,                        KütahyaMerkez,Kütahya
                        1.2 TDi Trendline,    Sahibinden 1 parça lokal boyalı değişen yok kaza yok,2012,170000.0,                    Beyaz,64000.0,2020-01-03,                        AnkaraÇankaya,Ankara
                        1.4 TDi Trendline,    Sahibinden Sıradan POLO,2007,185000.0,                    Beyaz,43000.0,2020-01-03,                        BatmanMerkez,Batman
                        1.2 TDi Trendline,    Sahibinden temiz Polo,2014,173000.0,                    Beyaz,57000.0,2020-01-03,                        İstanbulSultanbeyli,İstanbul
                        1.2 TDi Trendline,    MARKA DAN 1.2 TDİ POLO (2012),2012,159000.0,                    Siyah,53000.0,2020-01-03,                        AydınBuharkent,Aydın
                        1.2 TDi Trendline,    Polo 1.2 tdi 2013,2013,154000.0,                    Gri,57500.0,2020-01-04,                        İstanbulEsenyurt,İstanbul
                        1.6 Classic,    POLO CLASSİC SEDAN 2 yıl Muayne airbag,1999,170000.0,                    Kırmızı,23000.0,2020-01-04,                        TekirdağMarmaraereğlisi,Tekirdağ
                        1.4 Comfortline,    POLO BENZİNLİ OTOMATİK DSG(7ILERI)­COMFORTLINE 160.000 KM.,2010,160000.0,                    Mavi,71500.0,2020-01-04,                        KonyaKaratay,Konya
                        1.4 Comfortline,    TÜRELİ OTOMOTİV den Volkswagen Polo 1.4 Comfortline,2008,153000.0,                    Gri,43500.0,2020-01-04,                        DenizliPamukkale,Denizli
                        1.6 TDi Comfortline,    AGA ARTIK SATIŞTA (lütfen açıklamayı okuyun),2011,172000.0,                    Beyaz,74000.0,2020-01-04,                        AntalyaKaş,Antalya
                        1.4 Trendline,    UFUK OTOMOTİVDEN 2008 MODEL VOLKSWAGEN POLO 1.4 LPG'Lİ TRENDLİNE,2008,160000.0,                    Gümüş Gri,46500.0,2020-01-04,                        KayseriKocasinan,Kayseri
                        1.4 TDi Trendline,    VW POLO 1.4 TDI TRENDLINE,2014,155000.0,                    Beyaz,68750.0,2020-01-04,                        İstanbulÇekmeköy,İstanbul
