model,ad_title,year,km,color,price,ad_date,location,city
                        1.9 SDi,    araç ihtiyaçtan dolayı satılık,1999,88000.0,                    Siyah,23500.0,2019-12-24,                        KocaeliKartepe,Kocaeli
                        1.4 Comfortline,    PAZARLIKLI DÜŞÜK KM,2006,102000.0,                    Gri,53900.0,2019-12-24,                        MalatyaBattalgazi,Malatya
                        1.6 TDi Comfortline,    Sahibinden Doğuş Çıkışlı VW Polo 1.6 TDI,2013,92447.0,                    Siyah,84000.0,2019-12-24,                        İstanbulSarıyer,İstanbul
                        1.4 Comfortline,    2012 MODEL VW POLO 1.4 COMFORTLİNE OTOMATİK - DSG 88.000 KM'de,2012,88000.0,                    Beyaz,78000.0,2019-12-24,                        MersinSilifke,Mersin
                        1.4 Trendline,    2014 ORJİNAL 97 BİN KM'DE VOLKSWAGEN POLO 1.4 TDI COMFORTLİNE,2009,97000.0,                    Mavi,84000.0,2019-12-24,                        EdirneUzunköprü,Edirne
                        1.2 Trendline,    SATILIK TEMİZ BAKIMLI 110 BİNDE POLO,2011,110000.0,                    Siyah,53500.0,2019-12-24,                        İstanbulKüçükçekmece,İstanbul
                        1.4 TDi Comfortline,    2015 POLO COMFORTLİNE DSG 98.000 km HATASIZ,2015,98000.0,                    Beyaz,101000.0,2019-12-24,                        EdirneUzunköprü,Edirne
                        1.4 TDi Comfortline,    SAHİBİNDEN TEMİZ DİZEL OTOMATİK HASAR KAYITSIZ,2016,117000.0,                    Gri,91750.0,2019-12-24,                        İstanbulBeylikdüzü,İstanbul
                        1.4 TDi Comfortline,    SAHİBİNDEN 2015 SONU 1.4 DİZEL CAM TAVAN EN DOLU OTOMATİK VİTES.,2015,90000.0,                    Beyaz,107500.0,2019-12-24,                        İstanbulŞişli,İstanbul
                        1.6 TDi Comfortline,    Vw POLO 1.6 TDİ 89..... BİN KM 2.SAHİBİNDEN,2011,89000.0,                    Füme,74500.0,2019-12-24,                        BalıkesirAltıeylül,Balıkesir
                        1.4 Comfortline,    2011 MODEL POLO 1.4,2011,117000.0,                    Beyaz,65000.0,2019-12-24,                        AntalyaGazipaşa,Antalya
                        1.6 TDi Comfortline,"    ""CAM TAVANLI"" 2012 VW POLO 1.6 TDİ OTOMATİK VİTES 114.000 KMDE",2012,114000.0,                    Beyaz,88500.0,2019-12-24,                        TrabzonOrtahisar,Trabzon
                        1.4 TDi Comfortline,    SAHİBİNDEN TEMİZ POLO,2015,111000.0,                    Beyaz,90000.0,2019-12-24,                        İstanbulEsenler,İstanbul
                        1.6 TDi Comfortline,    sahibinden bakımlı polo 97.000km de,2012,97000.0,                    Siyah,76450.0,2019-12-24,                        İstanbulKağıthane,İstanbul
                        1.2 TDi Trendline,    POLO 1.2 DİZEL SAHİBİNDEN SIFIR TEMİZLİKTE,2013,106000.0,                    Gri,65250.0,2019-12-24,                        İzmirMenderes,İzmir
                        1.4 Comfortline,    2010 MODEL OTOMATİK WOLSVAGEN POLO 1.4 BENZİN-LPG 110.000 kmde,2010,110000.0,                    Siyah,58500.0,2019-12-24,                        NevşehirMerkez,Nevşehir
                        1.4 TDi Comfortline,    OTOMATİK 2016 ÇOK EKONOMİK,2016,115000.0,                    Beyaz,95000.0,2019-12-24,                        İstanbulŞişli,İstanbul
                        1.4 Comfortline,    Memurdan deyil ascidan da bahcivandan da deyil benden :),2011,115000.0,                    Kırmızı,56000.0,2019-12-24,                        İstanbulBeykoz,İstanbul
                        1.4 Trendline,    OTOMATİK ARAÇLA TAKAS,2008,107000.0,                    Beyaz,47000.0,2019-12-24,                        AydınKuşadası,Aydın
                        1.6 TDi Comfortline,    İLK SAHİBİNDEN TEMİZ VW POLO 1.6 TDI MANUEL,2012,115000.0,                    Beyaz,60500.0,2019-12-25,                        AnkaraEtimesgut,Ankara
                        1.2 TSI Comfortline,    SAHİBİNDEN HATASIZ CAM TAVANLI,2014,91000.0,                    Beyaz,94000.0,2019-12-25,                        ÇankırıMerkez,Çankırı
                        1.6 TDi Comfortline,    Polo 1.6 TDI 2011 manuel 89.000 Km,2011,89000.0,                    Siyah,70000.0,2019-12-25,                        BursaNilüfer,Bursa
                        1.2 TDi Trendline,    VW POLO 1.2 TDI,2014,100000.0,                    Beyaz,61500.0,2019-12-25,                        İstanbulEsenler,İstanbul
                        1.4 TDi Comfortline,"    2016 MODEL 2017 ÇIKIŞLI VOLKSWAGEN POLO 1.4 TDİ,COMFORTLİNE,DSG.",2016,109000.0,                    Beyaz,93750.0,2019-12-25,                        DenizliPamukkale,Denizli
                        1.2 Trendline,    Sahibinden satılık Polo 1.2,2011,119000.0,                    Siyah,62000.0,2019-12-25,                        BursaNilüfer,Bursa
                        1.4 Comfortline,    İLK SHBDN 2010 1.4 DSG 7 İLERİ COMFORTLİNE 105.000 KM DE FULL,2010,105000.0,                    Gri,75990.0,2019-12-25,                        İstanbulBaşakşehir,İstanbul
                        1.4 Comfortline,    cok temiz dost malı vedat kav,2011,94000.0,                    Beyaz,71500.0,2019-12-25,                        ŞanlıurfaHaliliye,Şanlıurfa
                        1.2 TDi Trendline,    ARAÇ DÜŞÜK KM DE OLUP ÇOK TEMİZDİR,2014,102000.0,                    Beyaz,62000.0,2019-12-25,                        AntalyaKepez,Antalya
                        1.6 TDi Comfortline,    Köse Otomotivden 2011 Polo 1.6 TDI,2011,118500.0,                    Beyaz,57500.0,2019-12-25,                        DenizliSarayköy,Denizli
                        1.4 Comfortline,    SAHİBİNDEN ÇOK TEMİZ 1.4 POLO,2013,101000.0,                    Beyaz,67500.0,2019-12-25,                        SinopAyancık,Sinop
                        1.0 Trendline,    FİX AUTO'DAN 2016 MOD. KM: 107.000,2016,107000.0,                    Beyaz,62500.0,2019-12-25,                        AdıyamanMerkez,Adıyaman
                        1.0 Trendline,    Kusursuz VW Polo,2014,102000.0,                    Beyaz,67500.0,2019-12-25,                        AntalyaKonyaaltı,Antalya
                        1.4 TDi Comfortline,    KOÇFİNANS'TAN KREDİLİ VW POLO 1.4 TDI OTOMATİK COMFORTLİNE,2017,91000.0,                    Beyaz,103900.0,2019-12-25,                        İstanbulPendik,İstanbul
                        1.4 TDi Comfortline,"    HATASIZ, BOYASIZ, DEĞİŞENSİZ - HASAR KAYITSIZ - SAHİBİNDEN",2016,91000.0,                    Beyaz,114000.0,2019-12-25,                        KaramanMerkez,Karaman
                        1.4 Comfortline,    2010 VW POLO COMFORTLİNE ÇELİK JANTLI 1.4 85 HP BEYAZ 86.000 KM,2010,86000.0,                    Beyaz,66750.0,2019-12-25,                        İstanbulAtaşehir,İstanbul
                        1.6 TDi Comfortline,"    2012 polo comfortline 98 Bin km""de kusursuz",2012,98000.0,                    Beyaz,57900.0,2019-12-25,                        HatayAntakya,Hatay
